Message,Severity
Small scratch on the arm,Low
Minor cuts from a motorcycle fall,Low
The victim is awake with small bruises,Low
Light injury after a small accident,Low
The person has a small wound on the hand,Low
The victim is walking and talking normally,Low
Small bruise on the leg,Low
Minor pain after car hit,Low
Very small injury no bleeding,Low
The victim looks okay just shaken,Low
Minor injury on the elbow,Low
Small wound not serious,Low
Slight pain in the shoulder,Low
The person can stand without help,Low
Small scratch on the face,Low
Small injury after falling from bike,Low
No serious injury just small cuts,Low
Victim is stable with minor injury,Low
Light bruises only,Low
Small swelling on ankle,Low
Minor hand injury,Low
Slight injury after bumping into car,Low
Small cut not bleeding much,Low
Minor injury victim conscious,Low
Light pain no visible injury,Low
Small injury victim okay,Low
Small wound needs cleaning,Low
Small bruise on knee,Low
Victim alert and okay,Low
No serious damage small injury only,Low
Small pain after accident,Low
Victim fine just scared,Low
Minor scratch on arm,Low
Victim sitting comfortably,Low
Light swelling on arm,Low
Very small accident injury,Low
Minor wound on finger,Low
Slight injury victim talking,Low
Small accident no serious injury,Low
Victim has mild pain only,Low
Small injury on foot,Low
Victim conscious small injury,Low
Small bruise on shoulder,Low
Minor injury victim stable,Low
Light scratch on skin,Low
Victim okay just nervous,Low
Minor injury no bleeding,Low
Small surface injury,Low
Very light injury victim okay,Low
Victim stable with small cut,Low
Broken arm after accident,Medium
Victim cannot move leg properly,Medium
Heavy swelling on the arm,Medium
Victim complaining of strong pain,Medium
Possible fracture on the leg,Medium
Victim dizzy but conscious,Medium
Arm looks dislocated,Medium
Victim unable to stand,Medium
Victim crying in pain,Medium
Deep cut on the leg,Medium
Victim needs medical attention,Medium
Serious pain in the chest,Medium
Large wound on arm,Medium
Victim cannot walk,Medium
Victim shaking and in pain,Medium
Head injury but conscious,Medium
Victim bleeding slowly,Medium
Pain in neck after accident,Medium
Victim weak and dizzy,Medium
Suspected broken bone,Medium
Victim injured in motorcycle crash,Medium
Large swelling on knee,Medium
Victim breathing normally but injured,Medium
Deep wound on the shoulder,Medium
Victim lying down in pain,Medium
Victim unable to lift arm,Medium
Moderate bleeding,Medium
Victim weak and needs help,Medium
Victim has severe leg pain,Medium
Victim injured needs transport,Medium
Victim injured but conscious,Medium
Victim hit by car and injured,Medium
Victim needs hospital care,Medium
Victim cannot move arm,Medium
Victim has deep cut,Medium
Victim injured in car crash,Medium
Victim struggling to walk,Medium
Victim dizzy after crash,Medium
Victim has head wound,Medium
Victim has serious injury,Medium
Victim in pain and bleeding lightly,Medium
Victim injured motorcycle crash,Medium
Victim weak but awake,Medium
Victim injured and needs care,Medium
Victim moderate injuries,Medium
Victim needs urgent help,Medium
Victim injured cannot move properly,Medium
Victim has deep wound,Medium
Victim injured badly but awake,Medium
Victim has large injury,Medium
Victim bleeding heavily,Critical
Serious car accident victim injured badly,Critical
Victim unconscious but breathing,Critical
Severe bleeding from leg,Critical
Head injury heavy bleeding,Critical
Victim trapped in vehicle,Critical
Victim losing blood fast,Critical
Victim severely injured,Critical
Motorcycle crash severe injury,Critical
Victim cannot speak properly,Critical
Severe chest injury,Critical
